Col0,Col1,Col2,Col3,Col4,Col5,Col6
99.025,69.036,-3.6199,26.134,-24.386,-3.3315e-13,24.386,-26.134
-84.874+6.3064i,54.071-88.247i,-12.769+4.7194i,10.137+7.2271i,1.9053-12.464i,-12.179+6.1304i,11.146+5.8947i,0.23391-12.447i
89.251-6.694i,-37.151-66.385i,-13.691-7.2249i,15.391-9.729i,-2.8029+17.651i,-12.387-9.1868i,16.077-7.806i,-4.8424+17.552i
-74.708-0.96739i,-114.29-15.163i,-3.0335-3.1442i,24.894+5.443i,-23.645-2.6889i,0.44446-2.5615i,23.168+5.4339i,-25.273-3.2618i
92.569+12.758i,-56.35+72.262i,-12.983+3.229i,6.9102+3.0256i,5.5781-6.4714i,-12.888+3.9095i,8.2334+2.2818i,4.0647-6.3548i
-102.56-19.253i,31.972+127.57i,-10.844-7.8086i,16.799-8.2118i,-7.1584+16.609i,-9.1277-9.5871i,16.94-6.3348i,-9.0262+16.376i
137.94+9.5196i,124.82+36.46i,-4.3803+6.8917i,13.404+1.1655i,-9.9836-8.1408i,-2.7045+7.5586i,12.882+0.040629i,-11.1-7.6021i
-157.62+20.906i,141.61-96.365i,4.619-2.9064i,-0.054707+16.876i,-4.5604-15.179i,4.9419-0.60952i,-0.73558+15.832i,-4.1536-16.357i
51.246-38.46i,153.42-531.23i,238.39+276.33i,-354.63+50.005i,141.65-329.92i,202.83+303.55i,-359.01+4.6139i,181.91-308.5i
145.34+529.55i,-1640.3+76.225i,591.23-1445.7i,917.15+1283.8i,-1574.1+69.999i,769.74-1358.8i,749.21+1386.1i,-1572.6-126.68i
542.35-916.83i,1388.9+2020.9i,-2635.9+201.08i,1241.2-2325.5i,1305.7+2291.1i,-2640.5-129.72i,1524-2152.1i,1007.3+2436i
-816.71+145.2i,783.46-1928.3i,1143.7+1897.8i,-2207.3-53.628i,1221.7-1840.3i,897.99+2025.8i,-2184.1-330.65i,1442.6-1671.5i
155.91+98.751i,-967.28+142.81i,450.79-720.52i,376.71+777.15i,-854.49-112.32i,539.01-656.79i,276.86+816.16i,-835.71-217.86i
24.4+118.96i,45.905+211.99i,-73.41-7.7465i,44.189-53.162i,26.054+64.717i,-72.111-16.193i,51.223-47.364i,17.217+66.951i
-26.818-103.34i,74.827+81.811i,-2.3016-2.2836i,12.039-1.7882i,-10.6+4.1999i,-0.67948-2.7126i,11.328-1.2929i,-11.46+4.0981i
35.075+70.411i,84.54-15.409i,-9.3063+7.5956i,5.4448-1.5778i,3.4714-5.9048i,-9.1649+7.9057i,6.3502-2.5674i,2.3597-5.1543i
-27.409-46.367i,20.928-64.594i,11.341+2.7056i,-9.6495+10.384i,-1.0002-13.834i,10.721+4.4409i,-10.489+9.0749i,0.51964-14.166i
8.9981+37.745i,-22.454-51.674i,3.4561+24.008i,-12.864-9.4639i,10.329-13.866i,1.7942+24.323i,-12.252-12.2i,11.336-11.249i
-5.7379-39.38i,-42.42+4.1089i,-8.1836+4.4452i,4.8889+0.38929i,2.9444-4.8624i,-8.0442+4.8215i,5.6762-0.3046i,1.9613-4.4951i
3.4902+41.722i,-22.681+25.41i,13.024+6.0081i,-12.461+8.2733i,0.33032-14.874i,12.107+7.6667i,-13.305+6.6581i,2.1512-14.802i
-13.274-38.159i,21.989+23.586i,-0.80786+20.654i,-7.9009-9.6764i,9.2749-10.285i,-2.0386+20.698i,-7.0902-11.896i,9.6368-7.9491i
13.014+28.716i,28.299+3.6483i,-5.1301+1.2829i,3.7886+3.5634i,1.0701-5.1016i,-4.9353+1.9038i,4.2189+3.0614i,0.41413-5.1846i
-12.804-18.583i,12.632-27.587i,11.288+8.076i,-12.126+4.5683i,1.7069-12.972i,10.297+9.3327i,-12.742+2.9701i,3.3577-12.516i
1.9854+13.329i,-3.747-23.724i,-3.7364+16.297i,-3.276-8.3445i,7.2471-7.3548i,-4.4904+16.226i,-2.4349-10.034i,7.0998-5.4731i
2.5167-14.591i,-21.544-1.7207i,-2.3583-0.3324i,2.0534+5.3778i,0.15772-5.4307i,-2.2224+0.44207i,2.224+4.957i,-0.16088-5.7542i
-6.9135+19.219i,-11.927+8.6001i,9.069+9.4953i,-10.893+1.3883i,2.6041-10.983i,8.102+10.382i,-11.287-0.1426i,3.9933-10.229i
1.295-22.066i,10.359+14.327i,-5.4207+12.37i,-0.059063-6.437i,5.484-5.4718i,-5.8179+12.301i,0.75076-7.7105i,5.0133-4.0379i
1.6363+19.996i,13.721+2.6092i,-0.019294-0.84234i,0.14868+6.0809i,-0.14004-5.6743i,0.0013941-3.4224e-05i,0.13855+5.6744i,-0.14987-6.0809i
-5.6341-14.012i,9.9906-16.03i,6.7374+10.37i,-9.1998-1.0786i,3.1215-9.2142i,5.8545+10.953i,-9.3956-2.5237i,4.2143-8.2486i
1.2169+8.11i,-0.82868-13.285i,-6.1544+8.9556i,1.9474-4.3321i,4.0674-4.3131i,-6.3063+8.9543i,2.6907-5.2827i,3.4227-3.293i
2.5011-5.9706i,-13.702-3.6591i,1.845-0.58456i,-1.6376+5.953i,-0.090011-5.795i,1.7341+0.25723i,-1.7683+5.5193i,0.16095-6.1721i
-8.1514+8.1762i,-6.7408+3.8928i,4.4185+10.725i,-7.2568-2.8317i,3.3583-7.6899i,3.6579+11.073i,-7.2783-4.1761i,4.1419-6.5973i
6.7978-11.996i,5.1826+10.24i,-6.1522+6.0521i,2.9799-2.2578i,2.9588-3.6326i,-6.1506+6.1506i,3.6326-2.9588i,2.2578-2.9799i
-4.7095+13.717i,8.1642+1.2294i,3.2044+0.1919i,-3.128+5.2236i,0.1478-5.7897i,2.9696+0.98104i,-3.3302+4.7384i,0.59921-6.059i
-0.38709-11.562i,8.5068-10.141i,2.2136+10.583i,-5.227-3.9073i,3.3879-6.3955i,1.5963+10.761i,-5.0986-5.1367i,3.8677-5.2564i
0.21753+6.9152i,-0.40027-8.5629i,-5.5873+3.671i,3.2417-0.37726i,2.1133-3.2667i,-5.5064+3.8781i,3.7877-0.88921i,1.4473-2.9251i
1.2052-3.0418i,-9.2753-4.5078i,4.0454+1.2833i,-4.2176+4.0917i,0.47441-5.6682i,3.7092+1.9826i,-4.4493+3.5435i,1.059-5.78i
-6.3125+2.4295i,-4.1169+2.3546i,0.22034+9.9908i,-3.2542-4.3653i,3.267-5.3128i,-0.24693+10.059i,-3.0024-5.4667i,3.4645-4.2003i
7.7-4.9028i,2.268+7.6348i,-4.6175+1.8278i,2.9161+1.1913i,1.4924-3.1045i,-4.5155+2.1357i,3.3466+0.81582i,0.92907-3.0099i
-7.7132+7.9159i,5.7873+0.34129i,4.3791+2.5134i,-4.8569+2.7368i,0.82586-5.4463i,3.9719+3.0997i,-5.0824+2.1244i,1.4746-5.3764i
3.5268-8.6733i,7.2951-6.4773i,-1.4732+9.0192i,-1.4633-4.2875i,3.0413-4.4245i,-1.796+9.029i,-1.1166-5.2515i,2.9926-3.4012i
-1.526+6.3261i,-0.48453-6.3026i,-3.3936+0.52747i,2.1749+2.3701i,1.0628-3.0674i,-3.3139+0.91708i,2.4886+2.0846i,0.64705-3.151i
0.52435-2.5286i,-6.263-4.7475i,4.2445+3.7296i,-5.0431+1.3192i,1.16-5.1434i,3.8+4.1927i,-5.2323+0.65026i,1.8072-4.8895i
-3.8275+0.0073375i,-2.8616+1.8744i,-2.7981+7.7605i,0.045615-3.7761i,2.7492-3.7138i,-2.9918+7.756i,0.45698-4.598i,2.5021-2.8286i
6.1875-0.36357i,0.54439+5.6275i,-2.0596-0.24547i,1.1808+3.1203i,0.79413-3.0984i,-2.0319+0.20012i,1.3833+2.8839i,0.54942-3.2907i
-8.1034+2.8689i,4.7463-0.032218i,3.7072+4.8048i,-4.8118-0.022471i,1.4495-4.7807i,3.2585+5.1458i,-4.9415-0.73374i,2.037-4.3595i
5.8466-5.1506i,6.1156-4.0365i,-3.711+6.322i,1.2017-2.9474i,2.4232-3.1633i,-3.7985+6.3374i,1.6475-3.6282i,2.0329-2.4492i
-3.4941+5.1393i,-0.53029-5.2474i,-0.74774-0.53083i,0.083937+3.4402i,0.65778-3.1559i,-0.78885-0.058189i,0.18759+3.2183i,0.58782-3.3907i
0.84318-2.6881i,-4.0688-4.5492i,2.8548+5.6405i,-4.2296-1.1762i,1.6779-4.38i,2.4315+5.8701i,-4.2836-1.9107i,2.1591-3.8225i
