Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8.1932e-28
0,0,0,0,0,0,0,0,5.7538e-17
0,0,0,0,0,0,0,0,2.2955e-14
0,0,0,0,0,0,0,0,1.9576e-13
0,0,0,0,0,0,0,7.2829e-28,8.4023e-12
0,0,0,0,0,0,0,1.1677e-16,9.5941e-12
0,0,0,0,0,0,0,4.3519e-14,7.8408e-11
0,0,0,0,0,0,6.3725e-28,1.253e-12,8.1111e-10
0,0,0,0,0,0,5.0485e-17,1.5164e-11,2.8682e-09
0,0,0,0,0,0,1.4053e-14,8.3145e-12,5.4553e-09
0,0,0,0,0,0,4.8009e-12,4.6357e-10,2.4539e-09
0,0,0,0,0,5.4621e-28,3.6315e-12,2.2667e-09,1.6244e-09
0,0,0,0,0,2.8021e-16,2.1007e-10,4.9596e-09,3.2827e-08
0,0,0,0,0,1.2707e-13,1.6916e-09,1.6791e-09,1.2493e-07
0,0,0,0,4.5518e-28,1.1506e-11,4.4271e-09,4.2001e-09,2.9136e-07
0,0,0,0,4.4329e-15,5.0687e-11,8.5786e-10,5.0815e-08,5.0947e-07
0,0,0,0,1.7118e-12,1.1363e-09,9.6162e-09,1.7656e-07,7.3e-07
0,0,0,0,1.4422e-14,3.8694e-09,8.1056e-08,3.8239e-07,9.0172e-07
0,0,0,3.6414e-28,6.2628e-10,2.0789e-10,2.5414e-07,6.2077e-07,9.5119e-07
0,0,0,2.165e-14,3.2829e-09,2.024e-08,4.9693e-07,8.2927e-07,8.0424e-07
0,0,0,7.7843e-12,4.8179e-11,1.3222e-07,7.3668e-07,9.2149e-07,4.5848e-07
0,0,2.7311e-28,2.3152e-10,4.1536e-08,3.5885e-07,8.6945e-07,7.8789e-07,1.1785e-07
0,0,6.3246e-14,2.6711e-09,2.1747e-07,6.2419e-07,7.4376e-07,4.1773e-07,4.4548e-09
0,0,2.415e-11,1.6232e-09,4.9221e-07,7.9755e-07,3.4994e-07,8.7123e-08,5.4225e-07
0,0,2.0275e-09,8.8137e-08,7.0571e-07,6.7174e-07,4.2061e-08,3.5341e-08,4.4437e-06
0,1.8207e-28,9.5068e-09,3.4353e-07,5.6538e-07,2.6361e-07,3.0068e-07,1.6717e-06,1.5904e-05
0,3.8722e-12,1.8731e-07,5.9511e-07,1.5228e-07,1.0708e-09,5.131e-06,9.7966e-06,3.9526e-05
0,1.3721e-09,4.6726e-07,4.1758e-07,2.5504e-07,1.8858e-06,2.2259e-05,3.0478e-05,7.3008e-05
9.1036e-29,4.4039e-08,2.3892e-07,2.6182e-08,8.4126e-06,1.4832e-05,5.5201e-05,6.4119e-05,8.1724e-05
6.8253e-10,3.2395e-07,5.968e-07,3.4694e-06,3.8045e-05,4.649e-05,5.9946e-05,7.1371e-05,4.7274e-05
1.6755e-07,3.504e-08,2.2083e-05,2.9927e-05,3.4458e-05,4.7796e-05,1.993e-05,3.406e-05,6.2958e-06
7.1443e-06,1.4554e-05,4.4712e-06,1.9589e-05,4.5688e-08,7.07e-06,2.274e-06,6.1408e-07,1.1646e-05
2.4203e-06,4.672e-06,3.5934e-05,1.0822e-05,4.9224e-05,1.9574e-05,6.4782e-05,3.3516e-05,8.8573e-05
2.4491e-08,4.4248e-06,6.7628e-06,5.2274e-05,6.1663e-05,8.1801e-05,0.00010844,0.00011053,0.00015485
7.1996e-09,1.11e-06,1.6343e-06,9.26e-06,1.2294e-05,6.9605e-05,7.8324e-05,0.00013146,0.00015407
1.069e-08,1.0751e-07,8.6853e-07,1.1069e-06,4.2079e-07,1.5959e-05,2.063e-05,8.8694e-05,0.0001006
1.3102e-08,3.4203e-10,1.4844e-07,2.1735e-06,3.1274e-06,1.573e-08,2.1889e-07,2.6572e-05,3.3956e-05
1.531e-08,5.2736e-11,3.1858e-09,9.4867e-07,1.7212e-06,2.8176e-06,1.9932e-06,1.2963e-06,3.3504e-06
1.7174e-08,3.9552e-13,1.4423e-10,2.0074e-07,9.8307e-07,2.9807e-06,3.9197e-06,1.0831e-06,3.6022e-07
1.8578e-08,4.132e-13,1.0648e-11,3.4655e-12,2.3247e-07,1.6267e-06,2.5195e-06,3.8252e-06,3.1834e-06
1.9433e-08,2.035e-13,1.2075e-10,1.0927e-09,3.2446e-09,1.0384e-06,1.7146e-06,3.7365e-06,4.8851e-06
1.9686e-08,6.3657e-14,9.2428e-11,7.9756e-10,6.7174e-09,3.0312e-07,1.1707e-06,2.5604e-06,3.8975e-06
1.932e-08,2.4519e-15,5.6374e-11,1.3768e-10,3.2357e-10,2.5146e-08,4.4363e-07,2.1198e-06,3.2805e-06
1.8359e-08,2.3732e-14,2.7781e-11,1.5913e-11,1.6907e-09,5.9895e-10,9.9356e-08,1.5467e-06,3.1445e-06
1.6862e-08,1.2616e-13,8.7033e-12,8.6015e-11,1.1081e-09,9.4496e-10,1.583e-08,7.9406e-07,2.5306e-06
1.4925e-08,3.033e-13,3.3986e-13,1.766e-10,9.169e-10,1.547e-08,1.6128e-08,3.4988e-07,1.7218e-06
1.2669e-08,5.4402e-13,3.2162e-12,3.0127e-10,1.8887e-09,2.0545e-08,6.7289e-08,1.7475e-07,1.1383e-06
1.0235e-08,8.332e-13,1.7152e-11,4.4767e-10,2.8072e-09,2.1435e-08,1.1058e-07,1.5304e-07,8.4993e-07
7.7762e-09,1.1527e-12,4.1271e-11,6.0642e-10,3.9039e-09,2.2826e-08,1.2817e-07,2.5946e-07,7.8358e-07
5.4477e-09,1.4823e-12,7.4057e-11,7.6754e-10,5.0357e-09,2.9197e-08,1.3716e-07,4.0833e-07,9.4089e-07
3.3954e-09,1.8015e-12,1.1345e-10,9.2092e-10,6.1346e-09,3.4373e-08,1.4454e-07,4.9e-07,1.2632e-06
