Col0,Col1,Col2,Col3,Col4,Col5,Col6
9.5823,-8.9416,-3.9488e-14,-15.571,-27.005,2.1953,-1.4568,0.51516
3.717+2.6499i,0.69859-4.5703i,-4.4656+2.2478i,28.135+2.3542i,-14.558+16.535i,-2.4007+2.0096i,3.6941-2.3911i,-4.472+2.439i
5.6432-3.5673i,-1.0277+6.472i,-4.5419-3.3685i,-17.21-4.2795i,4.495+23.698i,-1.2946-3.2042i,2.6868+3.4819i,-3.704-3.2737i
9.1279+1.9958i,-8.6697-0.98592i,0.16297-0.93921i,31.345+6.1083i,17.596+5.8895i,1.9678+0.60269i,-1.2719-0.59567i,0.39859+0.50554i
2.5337+1.1094i,2.0453-2.3729i,-4.7256+1.4335i,-21.626-6.9033i,18.624-16.168i,-3.1532+0.59597i,4.4485-1.1102i,-5.1231+1.4695i
6.1596-3.011i,-2.6247+6.0899i,-3.3468-3.5153i,35.532+8.41i,-5.022-26.888i,-0.20661-3.2462i,1.4639+3.5478i,-2.517-3.3545i
4.9146+0.42737i,-3.6607-2.985i,-0.99165+2.7715i,-31.777-11.01i,-31.632-22.353i,0.96461+1.2238i,-0.42507-1.4133i,-0.17378+1.4055i
-0.020059+6.1879i,-1.6722-5.5656i,1.812-0.22349i,44.094+12.764i,-44.587+0.48342i,0.97966+3.9163i,-1.0276-2.5524i,0.93222+0.8324i
-130.03+18.335i,51.939-120.97i,74.371+111.3i,-181.75+3.4159i,-12.448+11.663i,-11.437+29.881i,-0.33736-31.694i,12.065+29.085i
336.29+470.71i,-577.17+25.666i,282.24-498.22i,325.8+494.86i,-225.98-8.7062i,226.64-24.251i,-200.92+105.27i,147.17-171.59i
455.11-852.7i,478.76+840.07i,-968.18-47.563i,512.73-764.19i,125.45+518.43i,-267.32-405.77i,398.53+280.15i,-474.14-115.43i
-809.33-19.664i,447.97-674.79i,329.26+742.81i,-764.85-154.11i,438.11-294.39i,-251.92+434.53i,74.877-496.6i,112.61+489.38i
138.13+284.96i,-313.31-41.182i,197.64-240.82i,77.803+334.4i,-190.97-119.58i,253.62+16.357i,-240.88+77.578i,194.54-160.69i
16.203-19.493i,9.5533+23.73i,-26.441-5.9374i,31.594-49.13i,21.436+13.168i,-17.784-37.938i,31.125+29.516i,-40.123-16.976i
4.4143-0.65566i,-3.8867+1.54i,-0.24914-0.99463i,-1.7264+24.444i,-6.0078-24.16i,2.1884-2.3695i,-1.121+2.895i,-0.10281-3.0166i
1.9964-0.57853i,1.2728-2.1651i,-3.3605+2.8987i,5.8342-18.622i,-15.82-12.35i,0.53815+1.4995i,-0.022956-1.2833i,-0.49544+0.88818i
-3.5381+3.8076i,-0.36673-5.0725i,3.9312+1.6283i,-8.1389+15.817i,-11.067+0.063445i,-0.09563+4.0015i,-0.96529-3.0817i,1.8915+1.7318i
-4.7167-3.4701i,3.7874-5.0842i,0.65787+8.9186i,1.4279-14.571i,0.67461+9.7467i,-1.4965+1.7132i,0.90236-2.3671i,-0.18235+2.6907i
1.7926+0.14274i,1.0796-1.7829i,-2.9496+1.7679i,-4.4638+9.4743i,6.6469+3.7475i,1.4903+2.003i,-1.1535-1.2306i,0.65575+0.2866i
-4.569+3.0335i,0.12112-5.4539i,4.4392+2.8111i,0.81049-6.8761i,11.585-6.608i,-0.53404+4.0133i,-0.75126-3.3635i,1.9317+2.2444i
-2.897-3.548i,3.4008-3.771i,-0.74747+7.5892i,-6.7513+3.761i,5.387-8.4286i,-0.9985+1.1471i,0.75638-1.7131i,-0.40873+2.0401i
1.3891+1.3066i,0.39236-1.8706i,-1.8096+0.69805i,4.6899-4.841i,-3.8243-9.5317i,1.2863+2.2243i,-1.1414-1.3651i,0.83719+0.31546i
-4.4463+1.675i,0.62585-4.7562i,3.7756+3.422i,-7.9841+4.8033i,-3.2605-4.1255i,-0.91832+3.1273i,-0.20234-2.8111i,1.2948+2.1027i
