Col0,Col1,Col2,Col3,Col4,Col5,Col6
268.92,154.24,-12.066,87.112,-81.288,-1.1437e-12,81.288,-87.112
-202.74+24.334i,136.36-233.17i,-42.563+15.731i,33.791+24.09i,6.3509-41.548i,-40.597+20.435i,37.155+19.649i,0.77969-41.492i
233.79-29.004i,-98.434-152.01i,-45.635-24.083i,51.302-32.43i,-9.3428+58.837i,-41.29-30.623i,53.591-26.02i,-16.141+58.507i
-163.24+6.9601i,-307.97-35.595i,-10.112-10.481i,82.981+18.143i,-78.815-8.9629i,1.4815-8.5383i,77.227+18.113i,-84.243-10.873i
235.01+28.741i,-133.15+181.09i,-43.278+10.763i,23.034+10.085i,18.594-21.571i,-42.96+13.032i,27.445+7.6059i,13.549-21.183i
-241.51-46.914i,83.827+332.82i,-36.148-26.029i,55.997-27.373i,-23.861+55.363i,-30.426-31.957i,56.467-21.116i,-30.087+54.586i
355.4+12.23i,311.69+72.959i,-14.601+22.972i,44.678+3.8852i,-33.279-27.136i,-9.015+25.195i,42.94+0.13543i,-37.002-25.34i
-390.89+84.384i,344.93-271i,15.397-9.6879i,-0.18236+56.253i,-15.201-50.596i,16.473-2.0317i,-2.4519+52.774i,-13.845-54.523i
-176.63-76.779i,444.84-1630.4i,794.63+921.11i,-1182.1+166.68i,472.17-1099.7i,676.1+1011.8i,-1196.7+15.38i,606.36-1028.3i
1145.1+2416.6i,-5423.3+415.34i,1970.8-4819.2i,3057.2+4279.2i,-5247+233.33i,2565.8-4529.3i,2497.4+4620.5i,-5242.1-422.28i
2365.1-4249.1i,4768.7+6834.3i,-8786.2+670.27i,4137.4-7751.8i,4352.3+7637i,-8801.6-432.39i,5079.9-7173.6i,3357.7+8120i
-3851.5+330.16i,2773.5-6437.7i,3812.3+6326.1i,-7357.6-178.76i,4072.5-6134.5i,2993.3+6752.8i,-7280.3-1102.2i,4808.6-5571.7i
673.95+890.73i,-3116.8+378.47i,1502.6-2401.7i,1255.7+2590.5i,-2848.3-374.39i,1796.7-2189.3i,922.87+2720.5i,-2785.7-726.19i
123.89+250.64i,169.98+587.18i,-244.7-25.822i,147.3-177.21i,86.848+215.72i,-240.37-53.977i,170.74-157.88i,57.39+223.17i
