Col0,Col1,Col2,Col3,Col4,Col5,Col6
-2.8879e-05,-2.8879e-05,666.39,0.0091767,-0.00087613,-666.09,0.28902,-0.00014213
11.242-4.0613i,11.242-4.0613i,-193.7-718.26i,106.32-38.482i,106.31-38.482i,310.9+675.94i,10.996-3.8873i,10.706-3.8873i
5.1918+6.2478i,5.1918+6.2478i,-567.12+528.6i,49.558+59.476i,49.548+59.476i,622.09-462.98i,5.2556+5.9379i,4.9664+5.938i
3.2573-5.5497i,3.2573-5.5497i,622.77+323.65i,31.35-53.625i,31.34-53.625i,-587.86-382.87i,3.3678-5.3037i,3.0786-5.3034i
12.29+2.2882i,12.29+2.2882i,203.33-737.06i,120.71+22.167i,120.7+22.167i,-71.09+761.28i,12.015+2.1055i,11.725+2.1058i
0.33332+2.032i,0.33332+2.032i,-847.19+154.15i,3.4081+20.336i,3.398+20.336i,851.33-131.23i,0.62214+1.9335i,0.33297+1.9339i
9.7005-5.4169i,9.7005-5.4169i,457.49+682.05i,99.562-56.055i,99.552-56.055i,-347.81-743.66i,9.4839-5.2511i,9.1947-5.2506i
7.2611+6.3025i,7.2611+6.3025i,604.89-620.13i,76.878+66.182i,76.868+66.182i,-521.39+691.75i,7.2758+5.9283i,6.9866+5.9289i
1.65-4.2774i,1.65-4.2774i,-961.48-392.53i,17.66-46.363i,17.65-46.363i,980.6+343.06i,1.8094-4.097i,1.5203-4.0964i
12.741+0.27371i,12.741+0.27371i,60.907+1084.1i,139.22+2.3572i,139.21+2.3572i,91.847-1081.6i,12.435+0.085846i,12.146+0.086539i
1.3021+3.8618i,1.3021+3.8618i,1107.2-358.83i,13.995+40.902i,13.985+40.902i,-1092+402.34i,1.5886+3.6598i,1.2995+3.6606i
7.8196-6.2191i,7.8196-6.2191i,-878.44-1165.3i,71.807-57.415i,71.797-57.415i,956.83+1102.7i,7.6373-6.0585i,7.3481-6.0577i
9.2606+5.7063i,9.2606+5.7063i,-884.67+1520.7i,37.081+23.467i,37.07+23.467i,932.23-1491.1i,9.2188+5.2684i,8.9296+5.2694i
0.53279-2.5554i,0.53279-2.5554i,2394.7+490.69i,-7.3692+39.429i,-7.3792+39.429i,-2401.1-455.15i,0.74632-2.447i,0.45716-2.446i
