Col0,Col1,Col2,Col3,Col4,Col5,Col6
341,-68.346,-1.0015,69.355,-68.856,-8.3187e-13,68.856,-69.355
226.53-194.99i,19.05-18.363i,-42.874+9.2822i,24.134+9.0133i,18.565-18.361i,-42.833+9.4806i,24.579+8.8116i,18.076-18.356i
78.618-346.12i,-47.393+31.998i,-8.1397-15.526i,55.592-16.359i,-47.855+32.004i,-7.3901-15.876i,55.299-16.012i,-48.31+32.005i
-169.45-307.06i,-7.0934-37.738i,-27.021+20.057i,34.31+17.536i,-7.5378-37.72i,-26.718+20.458i,34.449+17.114i,-7.981-37.696i
-416.55-183.88i,-2.0124-23.591i,25.038+20.746i,-23.207+2.6942i,-1.6628-23.46i,24.881+20.936i,-23.399+2.3725i,-1.3129-23.326i
-515.16-70.431i,114.44-38.007i,-76.979+149.91i,-36.905-112.99i,114.15-36.102i,-78.074+149.36i,-35.512-114.34i,113.84-34.191i
-1498.7+1413.5i,-418.73-1503.7i,1499.5+384.71i,-1091.7+1116.2i,-399.95-1509i,1494.5+403.73i,-1105.4+1102.3i,-381.11-1514.1i
3467.9+2700i,-3824.8+2033.3i,142.79-4288i,3680.9+2285.7i,-3850.4+1985.7i,197.37-4285.8i,3651.6+2331.2i,-3875.4+1937.7i
2040.5-5369.8i,4082.9+4703.3i,-6150.7+1146.6i,2112.4-5858.2i,4023+4754.1i,-6164.6+1069.7i,2186.2-5831.5i,3962.5+4804.1i
-5033.7-179.41i,3158-4259.8i,2085.3+4903.1i,-5258.3-678.83i,3211.2-4219.4i,2023.9+4928.8i,-5249.7-745.12i,3263.9-4178.3i
665.57+2784.2i,-2315.1-1066i,2044.4-1460.3i,255.85+2536.9i,-2302.1-1094.9i,2062.9-1434i,224.22+2539.3i,-2288.8-1123.7i
855.58-124.79i,-102.45+468.47i,-350.45-315.3i,455.44-150.88i,-108.29+467.28i,-346.37-319.78i,457.17-145.18i,-114.11+466.02i
355.11-116.15i,-49.762-21.161i,5.9512-11.772i,43.768+33.019i,-50.036-21.486i,6.631-11.377i,43.357+32.946i,-50.302-21.807i
145.92-228.62i,1.8933-12.052i,3.5188+0.94115i,-5.4376+11.104i,1.9582-12.125i,3.4652+1.1095i,-5.4485+11.008i,2.0228-12.197i
-18.735-250.55i,11.672-25.669i,-4.6227+51.56i,-7.0157-26.265i,11.689-25.105i,-4.7582+51.552i,-6.8965-26.82i,11.705-24.537i
-118.08-103.03i,-5.0092-25.391i,3.393-0.81042i,1.5916+26.208i,-4.9961-25.587i,3.4407-0.43509i,1.5305+26.025i,-4.9823-25.779i
