Col0,Col1,Col2,Col3,Col4,Col5,Col6
12.048,-6.1164,-0.99491,7.1826,-6.7024,1.0338e-13,6.7024,-7.1826
6.7858-3.5346i,-5.0687-2.3328i,-1.2042+0.87237i,6.3592+1.3979i,-5.6106-2.3704i,-0.34654+1.1424i,5.982+1.1462i,-6.0641-2.3707i
-2.7055-0.16266i,-1.7377-3.7069i,-2.3044+2.4227i,4.2072+1.1106i,-2.2043-3.6129i,-1.8449+2.7612i,4.1814+0.65389i,-2.6361-3.4619i
-4.898+5.1523i,4.5952-2.5002i,-6.0807+5.197i,1.9212-3.0692i,4.0219-1.9079i,-6.2312+5.1138i,2.6558-3.5724i,3.3851-1.2855i
26.236+271.96i,-228.14-123.77i,222.42-127.63i,-10.223+260.55i,-211.47-151.58i,236.84-98.104i,-42.346+256.71i,-191.46-177.01i
147.45-600.76i,441.83+435.78i,-607.3+137.78i,208.99-583.43i,383.34+487.46i,-619.8+61.045i,280.87-552.88i,318.8+531.45i
-168.48+314.66i,-174.56-325.68i,367.39+25.751i,-219.16+298.09i,-132.53-345.2i,361.19+71.844i,-254.54+268.2i,-88.408-359.26i
20.621-33.017i,5.8911+27.688i,-26.707-10.284i,22.73-16.668i,2.3488+28.145i,-25.247-13.495i,24.707-13.684i,-1.2306+28.159i
-9.2378-7.0358i,-0.42402+0.065886i,0.23887+0.31856i,0.16804-0.40727i,-0.41895+0.11789i,0.28093+0.28093i,0.11789-0.41895i,-0.40727+0.16804i
-11.616+4.0683i,0.58541-4.0087i,2.7366+4.2895i,-3.5181-0.58822i,1.0336-3.6592i,2.4104+4.5096i,-3.6167-1.1735i,1.4654-3.252i
-2.7196+6.1823i,1.6282-4.214i,1.5445+5.7475i,-3.2833-1.9454i,1.9741-3.6628i,1.1677+5.8706i,-3.2255-2.6285i,2.2889-3.0538i
4.4255-0.27362i,2.0886-3.4148i,-0.26739+5.6087i,-1.802-2.5959i,2.1986-2.8269i,-0.55404+5.6253i,-1.6048-3.2015i,2.2738-2.1944i
3.2288-6.7564i,2.0138-2.479i,-1.6861+4.4582i,-0.20686-2.2987i,1.9078-1.9948i,-1.8376+4.4365i,0.061515-2.7595i,1.7717-1.4792i
-2.0738-5.8316i,1.5877-1.7507i,-2.3161+2.8521i,0.89431-1.3058i,1.3577-1.4527i,-2.3493+2.8626i,1.1599-1.615i,1.1063-1.1319i
-3.6409+0.72802i,1.0169-1.3485i,-2.114+1.3037i,1.2486-0.048639i,0.77593-1.2516i,-2.0801+1.3899i,1.4532-0.23791i,0.52275-1.1349i
0.11131+5.1636i,0.48085-1.2621i,-1.2815+0.20716i,0.89246+1.0401i,0.32508-1.3218i,-1.2408+0.3764i,1.0047+0.91845i,0.16418-1.3607i
3.6086+3.3831i,0.1046-1.4052i,-0.1628-0.22858i,0.069869+1.6502i,0.087927-1.5398i,-0.1641+9.4494e-14i,0.087927+1.5398i,0.069869-1.6502i
1.9903-0.97559i,-0.054108-1.6569i,0.86762-0.0036562i,-0.87568+1.6608i,0.070806-1.7762i,0.7998+0.24262i,-0.92792+1.5162i,0.1946-1.8674i
-2.8256-2.1254i,-0.0025023-1.8975i,1.5094+0.70019i,-1.6151+1.1472i,0.22138-1.9296i,1.3779+0.92065i,-1.698+0.94294i,0.44178-1.9312i
-5.0714+0.56193i,0.20166-2.0361i,1.6097+1.5903i,-1.9268+0.33177i,0.45506-1.9459i,1.4391+1.7535i,-1.9973+0.066697i,0.70129-1.825i
-2.5128+2.5827i,0.47271-2.0261i,1.1894+2.3562i,-1.7473-0.49885i,0.68313-1.8216i,1.0152+2.4509i,-1.7711-0.80499i,0.88278-1.5883i
1.2372+0.73523i,0.72232-1.8698i,0.41911+2.7582i,-1.1715-1.0861i,0.83629-1.5943i,0.27525+2.7946i,-1.1313-1.4005i,0.93707-1.2937i
1.7972-2.7752i,0.88161-1.6091i,-0.44359+2.6893i,-0.40624-1.2728i,0.87894-1.3253i,-0.53567+2.693i,-0.30488-1.5607i,0.8624-1.0205i
-0.55902-3.512i,0.91573-1.31i,-1.1371+2.1929i,0.30282-1.0401i,0.81256-1.0783i,-1.1736+2.1957i,0.44514-1.2747i,0.69657-0.82964i
-1.9082-0.61146i,0.82818-1.0413i,-1.4722+1.4375i,0.74953-0.49923i,0.66898-0.90254i,-1.4664+1.4664i,0.90254-0.66898i,0.49923-0.74953i
-0.18334+2.3511i,0.6551-0.85712i,-1.382+0.6562i,0.82587+0.1539i,0.4969-0.82113i,-1.3584+0.72607i,0.95881+0.043037i,0.33087-0.77219i
2.2447+2.1366i,0.45195-0.78342i,-0.93157+0.072491i,0.54636+0.70573i,0.34606-0.82879i,-0.91721+0.18245i,0.63688+0.63328i,0.2347-0.8611i
1.9724-0.22776i,0.27655-0.81437i,-0.2893-0.16539i,0.033483+0.99162i,0.25342-0.89728i,-0.30506-0.030046i,0.0735+0.92948i,0.22629-0.96603i
-0.88061-1.2533i,0.17321-0.91701i,0.33137-0.023576i,-0.52832+0.94227i,0.23481-0.98621i,0.27669+0.11461i,-0.53132+0.86339i,0.29271-1.0399i
-2.9271+0.26581i,0.16203-1.0427i,0.73894+0.4152i,-0.95392+0.59775i,0.28333-1.0558i,0.65029+0.53368i,-0.98022+0.48386i,0.40016-1.0522i
