Col0,Col1,Col2,Col3,Col4,Col5,Col6
435.56,-406.44,-2.1555e-12,260.79,-358.31,182.94,-121.4,42.93
168.95+120.45i,31.754-207.74i,-202.98+102.17i,311.58+87.141i,-89.039-108.35i,-200.06+167.46i,307.84-199.26i,-372.67+203.25i
256.51-162.15i,-46.714+294.18i,-206.45-153.11i,184.04-143.14i,-180.59+255.43i,-107.89-267.02i,223.9+290.16i,-308.67-272.81i
414.9+90.717i,-394.08-44.815i,7.4077-42.692i,446.14+170.56i,-287.84+53.287i,163.98+50.224i,-105.99-49.639i,33.216+42.129i
115.17+50.427i,92.969-107.86i,-214.8+65.159i,50.63-123.79i,157.97+49.124i,-262.76+49.664i,370.71-92.515i,-426.93+122.46i
279.98-136.86i,-119.31+276.81i,-152.13-159.78i,445.7+107.45i,14.825+58.655i,-17.217-270.51i,121.99+295.65i,-209.75-279.54i
223.39+19.426i,-166.39-135.68i,-45.075+125.98i,-39.505-201.37i,-154.98-478.28i,80.384+101.98i,-35.422-117.77i,-14.482+117.13i
-0.91179+281.27i,-76.007-252.98i,82.365-10.159i,297.13+398.21i,-485.51-905.97i,81.638+326.36i,-85.635-212.7i,77.685+69.367i
-5910.5+833.41i,2360.9-5498.7i,3380.5+5059.2i,-6281.5+25.91i,947.92-2276.4i,-953.11+2490.1i,-28.113-2641.2i,1005.4+2423.8i
15286+21396i,-26235+1166.7i,12829-22646i,12715+23106i,-19450-4758.3i,18886-2020.9i,-16743+8772.2i,12264-14300i
20687-38759i,21762+38185i,-44008-2162i,25256-35890i,7404.6+40417i,-22276-33814i,33211+23345i,-39512-9619.4i
-36788-893.8i,20362-30672i,14967+33764i,-36307-5415.7i,32581-24816i,-20993+36211i,6239.8-41383i,9384.1+40781i
6278.5+12953i,-14242-1871.9i,8983.5-10946i,4506.3+13421i,-18829-7981.8i,21135+1363i,-20074+6464.8i,16212-13391i
736.49-886.03i,434.24+1078.6i,-1201.8-269.88i,1027.9-555.41i,949.68+3919.2i,-1482-3161.5i,2593.7+2459.6i,-3343.6-1414.6i
200.65-29.803i,-176.67+69.998i,-11.325-45.21i,-64.18-248.88i,461.67+51.072i,182.36-197.46i,-93.415+241.25i,-8.5671-251.38i
90.746-26.297i,57.856-98.413i,-152.75+131.76i,408.16+129.6i,229.9-502.76i,44.846+124.95i,-1.913-106.95i,-41.287+74.015i
-160.82+173.07i,-16.67-230.57i,178.69+74.015i,-476.75+47.335i,0.0050765-667.85i,-7.9692+333.46i,-80.441-256.81i,157.63+144.32i
-214.4-157.73i,172.16-231.1i,29.903+405.39i,57.609-146.39i,-99.422-78.818i,-124.71+142.77i,75.197-197.26i,-15.196+224.23i
81.481+6.4881i,49.073-81.04i,-134.07+80.359i,-116.11-51.454i,-269.56+27.12i,124.19+166.91i,-96.123-102.55i,54.645+23.884i
