Col0,Col1,Col2,Col3,Col4,Col5,Col6
-48351,38459,52039,-26456,19447,33744,-6800.6,-36293
11240+85793i,-24034+21257i,1394.7-85861i,-4039.8-14052i,9702.6+6111.4i,7676+16343i,-6825.9+13.209i,-10234-16338i
88824-2214.1i,10303-28883i,-75940-1896.7i,-1222.5+12218i,8393.4-5345.8i,4368-14221i,-6756.4+16.202i,-6900+14227i
36696-78525i,10161+22421i,-39994+75401i,-26103+3233.3i,19272-1594.8i,33325-3831i,-6782.6+159.05i,-35867+3890.6i
-59859-1512.2i,-8393.6-12729i,63818+11036i,-7167-15251i,11164+6561i,11351+17709i,-6910.3+75.827i,-13941-17681i
-3404.5+69193i,12779+9863.3i,28702-60941i,1157.6+9826.8i,7303.7-4306.3i,1579.5-11441i,-6711.8+18.767i,-4094.8+11448i
1.0248e+05+12588i,-11342-10708i,-87863-28807i,-25058+6317i,18755-3110.8i,32087-7482.8i,-6730.4+306.49i,-34609+7597.7i
37884-64259i,26639+5530.2i,-49357+50875i,-10462-15762i,12704+6668.5i,15223+18261i,-6998.5+174.95i,-17846-18195i
-64048-26797i,-25830+11079i,61474+49964i,2992.7+6984.4i,6489.5-3049.2i,-560.64-8127.1i,-6699.7+3.4213i,-1950.1+8128.4i
1396.2+66536i,20965-29242i,28969-48603i,-23370+9108.4i,17924-4473.4i,30087-10785i,-6648.9+431.6i,-32579+10947i
92168+37477i,6924.7+35608i,-65111-65589i,-13777-15565i,14242+6425.2i,19114+17973i,-7078.5+310.54i,-21767-17857i
38988-73065i,-21132-23691i,-55010+51031i,4199.4+3815.7i,5992.9-1641.5i,-1953.5-4430.9i,-6725-18.995i,-566.73+4423.8i
-44583-40552i,31585+4436.1i,25269+70776i,-21114+11478i,16821-5615.5i,27418-13582i,-6545.9+525.42i,-29871+13779i
-12827+77359i,-17979+9315.9i,48788-49743i,-16961-14674i,15700+5840.3i,22845+16863i,-7138.8+479.17i,-25520-16683i
75281+37609i,14386-11114i,-30523-66726i,4723+460.9i,5839.5-158.44i,-2534.6-520.28i,-6789.4-36.542i,-9.812+506.59i
63385-74341i,-6860.7+10623i,-85126+39136i,-18392+13314i,15502-6481.4i,24202-15743i,-6431.7+581.44i,-26612+15961i
-39450-34668i,13039-15250i,4376+61479i,-19870-13130i,17004+4940.4i,26243+14982i,-7169.3+674.23i,-28929-14729i
-36437+64204i,-377.65+25499i,75297-18896i,4539.4-2931.6i,6037.9+1321.3i,-2276.6+3426.7i,-6891.1-37.074i,-305.93-3440.6i
81629+37598i,-11621-27519i,-23656-61619i,-15328+14532i,14034-7029.4i,20588-17166i,-6318.1+596.22i,-22956+17389i
75566-52279i,34380+15148i,-94410-3305.5i,-22373-11008i,18086+3768.1i,29151+12420i,-7161.7+886.33i,-31835-12087i
-47722-47639i,-31904+8598.4i,217.67+69643i,3656.3-6211.3i,6578.6+2718.8i,-1190.9+7230.2i,-7024.9-9.1614i,-1441.8-7233.7i
-34838+45001i,23458-25770i,64126+19987i,-12061+15071i,12492-7233.6i,16742-17782i,-6217.8+569.7i,-19072+17995i
80334+60442i,1688.5+28715i,-8249.5-79268i,-24355-8404.6i,18891+2380.1i,31435+9296.5i,-7110.8+1103.9i,-34100-8882.8i
67955-45041i,-7739.6-18644i,-72334-26392i,2113.3-9233.2i,7434.7+3959.3i,672.93+10717i,-7182.5+57.014i,-3364.7-10696i
-32105-69350i,14195+11012i,-32095+83240i,-8736.7+14904i,10956-7086i,12843-17560i,-6143.3+505.38i,-15145+17749i
-33090+49288i,-8095-9088.7i,46183+27103i,-25728-5442.2i,19378+844.01i,32990+5758.5i,-7014.4+1314i,-35618-5266i
56108+70434i,19777+9972.8i,33559-75442i,-20.418-11863i,8563.3+4975.9i,3229.6+13728i,-7352.9+168.85i,-5985.2-13665i
79095-51227i,-23564-137.29i,-67773-28809i,-5507.4+14035i,9504.8-6596.4i,9069.5-16507i,-6105.9+410.22i,-11358+16661i
-11053-65462i,29360-17316i,-68145+59298i,-26428-2257.4i,19519-764.72i,33743+1970.8i,-6874+1503.3i,-36319-1407.4i
-53826+45901i,-8402+33918i,51513+38927i,-2648.9-13986i,9907.4+5713i,6361.8+16127i,-7523.2+330.68i,-9181.3-16003i
