Col0,Col1,Col2,Col3,Col4,Col5,Col6
8618,5310.1,-361.99,2613.4,-2438.6,-3.4981e-11,2438.6,-2613.4
-6803.9+700.2i,4485.6-7543.9i,-1276.9+471.94i,1013.7+722.71i,190.53-1246.4i,-1217.9+613.04i,1114.6+589.47i,23.391-1244.7i
7587.1-809.9i,-3181.7-5183.8i,-1369.1-722.49i,1539.1-972.9i,-280.29+1765.1i,-1238.7-918.68i,1607.7-780.6i,-484.24+1755.2i
-5669.2+117.14i,-9896.1-1202.4i,-303.35-314.42i,2489.4+544.3i,-2364.5-268.89i,44.446-256.15i,2316.8+543.39i,-2527.3-326.18i
7712.2+986.29i,-4486.6+5970.7i,-1298.3+322.9i,691.02+302.56i,557.81-647.14i,-1288.8+390.95i,823.34+228.18i,406.47-635.48i
-8148.4-1562.8i,2719.5+10816i,-1084.4-780.86i,1679.9-821.18i,-715.84+1660.9i,-912.77-958.71i,1694-633.48i,-902.62+1637.6i
11602+542.43i,10290+2626i,-438.03+689.17i,1340.4+116.55i,-998.36-814.08i,-270.45+755.86i,1288.2+4.0629i,-1110-760.21i
-12937+2399.3i,11492-8582.1i,461.9-290.64i,-5.4707+1687.6i,-456.04-1517.9i,494.19-60.952i,-73.558+1583.2i,-415.36-1635.7i
-2171.8-2766.2i,13944-50176i,23839+27633i,-35463+5000.5i,14165-32992i,20283+30355i,-35901+461.39i,18191-30850i
28406+66636i,-1.631e+05+11009i,59123-1.4457e+05i,91715+1.2838e+05i,-1.5741e+05+6999.9i,76974-1.3588e+05i,74921+1.3861e+05i,-1.5726e+05-12668i
65938-1.1674e+05i,1.4181e+05+2.0415e+05i,-2.6359e+05+20108i,1.2412e+05-2.3255e+05i,1.3057e+05+2.2911e+05i,-2.6405e+05-12972i,1.524e+05-2.1521e+05i,1.0073e+05+2.436e+05i
-1.0538e+05+11289i,81748-1.9304e+05i,1.1437e+05+1.8978e+05i,-2.2073e+05-5362.8i,1.2217e+05-1.8403e+05i,89799+2.0258e+05i,-2.1841e+05-33065i,1.4426e+05-1.6715e+05i
18830+21668i,-94472+12232i,45079-72052i,37671+77715i,-85449-11232i,53901-65679i,27686+81616i,-83571-21786i
3333.8+8832i,4946.6+18690i,-7341-774.65i,4418.9-5316.2i,2605.4+6471.7i,-7211.1-1619.3i,5122.3-4736.4i,1721.7+6695.1i
-2436.8-8444i,6394.9+6568.2i,-230.16-228.36i,1203.9-178.82i,-1060+419.99i,-67.948-271.26i,1132.8-129.29i,-1146+409.81i
3324.4+5671.4i,7087.8-1752.1i,-930.63+759.56i,544.48-157.78i,347.14-590.48i,-916.49+790.57i,635.02-256.74i,235.97-515.43i
-2705.5-3567.9i,1446.1-5746.3i,1134.1+270.56i,-964.95+1038.4i,-100.02-1383.4i,1072.1+444.09i,-1048.9+907.49i,51.964-1416.6i
769.23+2904.5i,-1942.2-4449.5i,345.61+2400.8i,-1286.4-946.39i,1032.9-1386.6i,179.42+2432.3i,-1225.2-1220i,1133.6-1124.9i
-631.57-3210.5i,-3483.3+497.61i,-818.36+444.52i,488.89+38.929i,294.44-486.24i,-804.42+482.15i,567.62-30.46i,196.13-449.51i
299.34+3552.6i,-1738.5+2012.7i,1302.4+600.81i,-1246.1+827.33i,33.032-1487.4i,1210.7+766.67i,-1330.5+665.81i,215.12-1480.2i
-1435.9-3281.5i,2173+1703.1i,-80.786+2065.4i,-790.09-967.64i,927.49-1028.5i,-203.86+2069.8i,-709.02-1189.6i,963.68-794.91i
1311.3+2406.5i,2439.5+54.658i,-513.01+128.29i,378.86+356.34i,107.01-510.16i,-493.53+190.38i,421.89+306.14i,41.413-518.46i
-1417.7-1451i,947.37-2632.8i,1128.8+807.6i,-1212.6+456.83i,170.69-1297.2i,1029.7+933.27i,-1274.2+297.01i,335.77-1251.6i
248.82+974.59i,-333.98-2091.8i,-373.64+1629.7i,-327.6-834.45i,724.71-735.48i,-449.04+1622.6i,-243.49-1003.4i,709.98-547.31i
98.273-1143.2i,-1829.8-85.706i,-235.83-33.24i,205.34+537.78i,15.772-543.07i,-222.24+44.207i,222.4+495.7i,-16.088-575.42i
-614.58+1642.9i,-883.09+636.51i,906.9+949.53i,-1089.3+138.83i,260.41-1098.3i,810.2+1038.2i,-1128.7-14.26i,399.33-1022.9i
-31.617-1960.3i,1096.2+1070.7i,-542.07+1237i,-5.9063-643.7i,548.4-547.18i,-581.79+1230.1i,75.076-771.05i,501.33-403.79i
256.97+1782.3i,1200+24.224i,-1.9294-84.234i,14.868+608.09i,-14.004-567.43i,0.13941-0.0034224i,13.855+567.44i,-14.987-608.09i
-726.56-1210i,807.1-1597.7i,673.74+1037i,-919.98-107.86i,312.15-921.42i,585.45+1095.3i,-939.56-252.37i,421.43-824.86i
224.45+643.26i,-99.007-1188.6i,-615.44+895.56i,194.74-433.21i,406.74-431.31i,-630.63+895.43i,269.07-528.27i,342.27-329.3i
88.925-450.57i,-1197.6-297.19i,184.5-58.456i,-163.76+595.3i,-9.0011-579.5i,173.41+25.723i,-176.83+551.93i,16.095-617.21i
-708.2+690.45i,-467.26+274.94i,441.85+1072.5i,-725.68-283.17i,335.83-768.99i,365.79+1107.3i,-727.83-417.61i,414.19-659.73i
523.47-1090i,594.99+792.79i,-615.22+605.21i,297.99-225.78i,295.88-363.26i,-615.06+615.06i,363.26-295.88i,225.78-297.99i
-363.72+1278.2i,733.96-62.743i,320.44+19.19i,-312.8+522.36i,14.78-578.97i,296.96+98.104i,-333.02+473.84i,59.921-605.9i
-188.01-1077.4i,723.36-1050.5i,221.36+1058.3i,-522.7-390.73i,338.79-639.55i,159.63+1076.1i,-509.86-513.67i,386.77-525.64i
126.35+626.18i,-72.784-782.53i,-558.73+367.1i,324.17-37.726i,211.33-326.67i,-550.64+387.81i,378.77-88.921i,144.73-292.51i
-20.22-251.17i,-827.29-397.38i,404.54+128.33i,-421.76+409.17i,47.441-566.82i,370.92+198.26i,-444.93+354.35i,105.9-578i
-531.46+201.23i,-263.3+172.71i,22.034+999.08i,-325.42-436.53i,326.7-531.28i,-24.693+1005.9i,-300.24-546.67i,346.45-420.03i
638.95-458.88i,304.44+604.57i,-461.75+182.78i,291.61+119.13i,149.24-310.45i,-451.55+213.57i,334.66+81.582i,92.907-300.99i
-677.94+769.63i,542.27-115.64i,437.91+251.34i,-485.69+273.68i,82.586-544.63i,397.19+309.97i,-508.24+212.44i,147.46-537.64i
232.06-854i,641.92-700.83i,-147.32+901.92i,-146.33-428.75i,304.13-442.45i,-179.6+902.9i,-111.66-525.15i,299.26-340.12i
-66.801+627.13i,-85.098-593.45i,-339.36+52.747i,217.49+237.01i,106.28-306.74i,-331.39+91.708i,248.86+208.46i,64.705-315.1i
-57.25-254.51i,-566.13-433.72i,424.45+372.96i,-504.31+131.92i,116-514.34i,380+419.27i,-523.23+65.026i,180.72-488.95i
-305.34+8.8358i,-175.24+152.6i,-279.81+776.05i,4.5615-377.61i,274.92-371.38i,-299.18+775.6i,45.698-459.8i,250.21-282.86i
520.24-50.28i,128.24+448.99i,-205.96-24.547i,118.08+312.03i,79.413-309.84i,-203.19+20.012i,138.33+288.39i,54.942-329.07i
-741.83+306.03i,464.68-126.29i,370.72+480.48i,-481.18-2.2471i,144.95-478.07i,325.85+514.58i,-494.15-73.374i,203.7-435.95i
497.39-538.86i,550.86-463.13i,-371.1+632.2i,120.17-294.74i,242.32-316.33i,-379.85+633.74i,164.75-362.82i,203.29-244.92i
-290.06+541.87i,-88.611-510.68i,-74.774-53.083i,8.3937+344.02i,65.778-315.59i,-78.885-5.8189i,18.759+321.83i,58.782-339.07i
8.1697-300.37i,-370.9-423.98i,285.48+564.05i,-422.96-117.62i,167.79-438i,243.15+587.01i,-428.36-191.07i,215.91-382.25i
-141.28-5.1166i,-154.56+150.14i,-419.82+481.77i,196.69-192.51i,209.03-275.47i,-420.7+487.71i,241.81-247.19i,161.56-222.81i
311.82+150.31i,29.772+314.85i,42.726-39.277i,-98.325+336.19i,62.645-321i,31.192+7.8131i,-96.071+312.63i,71.764-342.84i
-623.4-46.67i,430.84-100.7i,179.04+617.02i,-338.52-206.04i,183.74-396.22i,141.62+630.65i,-335.51-279.62i,217.93-330.99i
586.33-193.97i,453.6-305.12i,-427.63+335.91i,233.61-83.134i,177.29-246.82i,-423.59+347.64i,276.66-125.73i,127.11-212.9i
-465.25+356.3i,-69.019-477.28i,137.41+8.3769i,-191.13+294.54i,67.409-324.02i,118.89+52.699i,-194.81+267.54i,89.886-339.41i
139.44-296.58i,-228.78-382.07i,62.438+636.08i,-238.06-262.61i,192.68-354.66i,31.573+642.68i,-226.52-334.07i,211.18-284.68i
-80.121+54.128i,-169.3+137.94i,-399.03+204.67i,233.52+22.082i,148.78-228.33i,-392.96+222.61i,272.33-10.23i,101.11-211.65i
118.21+186.92i,-12.038+204.96i,202.95+79.904i,-261.82+227.2i,77.631-323.38i,178.63+119.35i,-269.06+195.47i,109.71-328.83i
-408.05-249.59i,404.7-50.83i,-53.439+621.23i,-132.12-285.73i,195.03-315.02i,-76.88+623.33i,-112.64-352.97i,197.59-245.07i
515.42+104.85i,360.06-209.6i,-340.89+96.249i,201.7+113.54i,124.74-217.92i,-335.37+120i,234.67+89.323i,83.89-215.72i
-535.48+110.55i,-26.624-459.06i,236.06+164.6i,-305.27+143.59i,91.086-318.47i,207.66+197.7i,-313.62+106.6i,128.44-311.95i
272.76-208.87i,-134.78-322.87i,-158.68+575.47i,-30.705-276.94i,191.58-278.68i,-174.61+575.6i,-4.4665-338.16i,179.39-213.21i
